08-07-2020 23:45:50.324 [main] INFO  c.netflix.discovery.DiscoveryClient.<init> - Discovery Client initialized at timestamp 1594277150308 with initial instances count: 1
08-07-2020 23:45:50.340 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry.register - Registering application INTERNAL-ACCOUNT-MANAGEMENT-SERVICE with eureka with status UP
08-07-2020 23:45:50.386 [main] INFO  c.netflix.discovery.DiscoveryClient.notify - Saw local status change event StatusChangeEvent [timestamp=1594277150386, current=UP, previous=STARTING]
08-07-2020 23:45:50.449 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_INTERNAL-ACCOUNT-MANAGEMENT-SERVICE/base-lab:internal-account-management-service:8000: registering service...
08-07-2020 23:45:50.527 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8000 (http) with context path ''
08-07-2020 23:45:50.543 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration.onApplicationEvent - Updating port to 8000
08-07-2020 23:45:50.642 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient.register - DiscoveryClient_INTERNAL-ACCOUNT-MANAGEMENT-SERVICE/base-lab:internal-account-management-service:8000 - registration status: 204
08-07-2020 23:45:50.642 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener.onApplicationEvent - Triggering deferred initialization of Spring Data repositories…
08-07-2020 23:45:52.465 [task-1] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
08-07-2020 23:45:52.496 [task-1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
08-07-2020 23:45:53.152 [main] INFO  o.s.d.r.c.DeferredRepositoryInitializationListener.onApplicationEvent - Spring Data repositories initialized!
08-07-2020 23:45:53.168 [main] INFO  c.b.i.i.InternalAccountManagementServiceApplication.logStarted - Started InternalAccountManagementServiceApplication in 24.959 seconds (JVM running for 26.119)
